,index,site_key,pedon_key,year,geometry,carbon_sum,landcover,value
85,0.0,20489,20489,1993,POINT (4674.766894238036 2575766.086363654),569.1099934577942,[14],
88,0.0,20599,20599,1993,POINT (-78229.7602798771 2814929.7093382357),177.10000070929527,[15],
89,0.0,20490,20490,1993,POINT (4670.599869572009 2575821.520304443),445.6500040143728,[13],
90,0.0,20491,20491,1993,POINT (4784.435285470217 2575960.400950618),444.01999855041504,[13],
91,0.0,20594,20594,1993,POINT (-56512.38917205057 2778967.659248266),171.020000949502,[13],
92,0.0,20597,20597,1993,POINT (-66279.86917401476 2800700.6834682846),265.0799999833107,[13],
155,0.0,20494,20494,1993,POINT (4891.866872410055 2575972.7415200616),64.46999938040972,[13],
156,0.0,20596,20596,1993,POINT (-56105.031480213314 2793541.6517192787),182.8899982124567,[13],
157,0.0,20600,20600,1993,POINT (-73164.1358144767 2810071.7261612783),84.6800008714199,[13],
70,0.0,19359,19359,1992,POINT (232089.72630349267 2365566.1965936427),407.6599941253662,[2],
72,0.0,19358,19358,1992,POINT (232066.91184072982 2365596.553180578),304.60999923944473,[1],
73,0.0,19353,19353,1992,POINT (-3257.0556617543543 2786248.6208928875),89.52999970316887,[13],
75,0.0,19869,19869,1992,POINT (224849.16591046014 2382814.608190757),5.349999945610762,[14],
76,0.0,19867,19867,1992,POINT (225518.7918714409 2371469.165113103),265.2800053730607,[2],
77,0.0,19868,19868,1992,POINT (224838.71283107673 2372222.572264598),145.17000177502632,[15],
86,0.0,19352,19352,1992,POINT (-3319.5729210128043 2786217.957631783),102.6500029116869,[13],
87,0.0,19356,19356,1992,POINT (232173.629145824 2365723.608728329),86.04999969899654,[13],
153,0.0,19354,19354,1992,POINT (-3194.5526663492537 2786248.5926650814),1054.3899966180325,[13],
154,0.0,19865,19865,1992,POINT (231211.50113903324 2374026.031274744),76.2600017003715,[2],
170,0.0,19351,19351,1992,POINT (-3361.472809165666 2786126.2977881567),91.13999991118908,[13],
171,0.0,19864,19864,1992,POINT (231942.79871885464 2372530.867846384),10.409999996423721,[8],
176,0.0,19355,19355,1992,POINT (232350.31565131422 2365729.034672149),123.52000197768211,[13],
177,0.0,19357,19357,1992,POINT (232051.41627779117 2367547.313743766),189.21999549865723,[13],
178,0.0,19866,19866,1992,POINT (230762.48255389734 2374972.677120479),151.78000069782138,[15],
69,0.0,18743,18743,1991,POINT (-1302.9105468869154 2501326.208492351),100.38000276684761,[13],
71,0.0,18742,18742,1991,POINT (14875.042679040214 2521341.880681515),121.0200030207634,[16],
152,0.0,18818,18818,1991,POINT (160572.85311522946 2493635.269934046),79.30999803543091,[13],
61,0.0,14251,14251,1987,POINT (9976.899765236198 2556681.991355638),3.179999828338623,[15],
62,0.0,14244,14244,1987,POINT (-5210.453784373616 2501327.9217791934),85.87000080943108,[13],
63,0.0,14252,14252,1987,POINT (10192.334886436945 2556682.286052551),11.699999570846558,[13],
64,0.0,14246,14246,1987,POINT (15804.878771151782 2521745.11605882),59.51999855041504,[14],
65,0.0,14253,14253,1987,POINT (10063.47938634457 2556558.8946777266),29.700000286102295,[13],
66,0.0,14248,14248,1987,POINT (15697.11262151315 2521528.763291046),49.32999938726425,[13],
67,0.0,14245,14245,1987,POINT (15697.24372105469 2521466.897911865),59.799999952316284,[13],
68,0.0,14250,14250,1987,POINT (10192.633427089273 2556466.347530395),16.37999987602234,[14],
151,0.0,14249,14249,1987,POINT (9977.191995642412 2556466.0528248497),53.44999960064888,[13],
175,0.0,14247,14247,1987,POINT (15696.91685534551 2521621.1446071817),39.84000027179718,[2],
60,0.0,10494,10494,1982,POINT (182547.70848544798 2690365.742025819),43.25000089406967,[1],
150,0.0,9673,9673,1982,POINT (111856.38754953034 2554437.6012699143),57.70000080764294,[16],
54,0.0,9022,9022,1981,POINT (76909.27528637431 2585241.6935105156),47.649999514222145,[8],
55,0.0,9024,9024,1981,POINT (155255.37285926682 2546170.411042444),57.819998666644096,[16],
56,0.0,9026,9026,1981,POINT (96372.31849490298 2551661.9620253504),56.20999963581562,[13],
57,0.0,9021,9021,1981,POINT (77023.92707879253 2586913.0554985576),77.83000001311302,[9],
58,0.0,9018,9018,1981,POINT (68735.52371669331 2573408.615126391),106.52999986708164,[13],
59,0.0,9019,9019,1981,POINT (68513.30033640529 2573399.2190138125),78.03999936580658,[13],
148,0.0,9020,9020,1981,POINT (77234.33171166242 2587295.558113023),129.65000034868717,[14],
149,0.0,9023,9023,1981,POINT (96080.98250858288 2550881.0346452747),80.49999924004078,[13],
167,0.0,9025,9025,1981,POINT (156702.54612786096 2546349.68470472),83.20000184327364,[13],
41,0.0,7071,7071,1978,POINT (47798.82128632413 2769284.0287681865),801.6000238955021,[13],
43,0.0,7068,7068,1978,POINT (45350.33783751892 2772515.6603422468),19.85999946296215,[15],
44,0.0,7069,7069,1978,POINT (45349.948531584356 2772577.094003654),54.90999872982502,[15],
45,0.0,7070,7070,1978,POINT (45348.9780659779 2772730.236430165),630.7900089025497,[14],
46,0.0,7066,7066,1978,POINT (45349.17271784379 2772699.519773265),54.68999952822924,[13],
49,0.0,7067,7067,1978,POINT (45326.592271515416 2772637.113607281),73.50000163912773,[13],
50,0.0,7064,7064,1978,POINT (-10917.27565614754 2787481.2654884453),141.33999867737293,[13],
51,0.0,7072,7072,1978,POINT (47839.14091699632 2769529.1976632993),320.5000083297491,[13],
52,0.0,7063,7063,1978,POINT (-10833.801681348335 2787328.0589175834),178.0599969625473,[15],
53,0.0,7065,7065,1978,POINT (-11146.943886274823 2787267.1478586053),59.17999868094921,[14],
123,0.0,55124,55925,1978,POINT (240102.06150720047 2733981.6370855113),1.600000023841858,[14],
40,0.0,6576,6576,1977,POINT (433555.7436502604 2777136.221956815),75.84999942779541,[0],
42,0.0,6577,6577,1977,POINT (430088.20987832727 2771645.5566704385),79.40000201016665,[0],
47,0.0,6578,6578,1977,POINT (387281.8589411788 2757043.4200968174),130.79999901354313,[14],
48,0.0,6581,6581,1977,POINT (303202.346328951 2661591.574127217),97.72000104188919,[13],
168,0.0,6580,6580,1977,POINT (386039.5070667211 2767599.7200276027),84.44000187516212,[8],
169,0.0,6582,6582,1977,POINT (291787.2825610927 2724338.396339168),88.92999721318483,[13],
29,0.0,1702,1702,1963,POINT (165084.3120705674 2519246.4855059506),87.44999869912863,[16],
23,0.0,1678,1678,1964,POINT (252666.28423971296 2721324.7556642983),29.8999999538064,[14],
27,0.0,1677,1677,1964,POINT (252363.1907948928 2724569.1278376495),29.13000014424324,[0],
18,0.0,1652,1652,1961,POINT (-6213.86464799225 2499382.1938401745),128.15000027418137,[13],
33,0.0,1646,1646,1961,POINT (93678.43142471011 2610513.9263470815),37.29999899864197,[16],
37,0.0,2002,2002,1961,POINT (268446.29399220133 2717349.2107816804),26.25,[14],
38,0.0,1635,1635,1961,POINT (214296.97289372774 2503830.245356279),1.1000000163912773,[8],
160,0.0,1643,1643,1961,POINT (78173.77341792037 2849998.8975810735),21.050000190734863,[14],
10,0.0,1638,1638,1960,POINT (199466.44911009845 2374514.0114765414),31.63999979197979,[14],
15,0.0,1999,1999,1960,POINT (168673.15649074528 2483410.8663002304),25.499999523162842,[0],
17,0.0,1642,1642,1960,POINT (163265.71363010263 2466820.793424123),24.869999766349792,[13],
39,0.0,1637,1637,1960,POINT (199909.06237741635 2381152.180262202),15.26999993622303,[13],
165,0.0,1641,1641,1960,POINT (164174.06838031966 2476111.213426269),22.159999024122953,[15],
6,0.0,1703,1703,1970,POINT (249931.51168405262 2309416.295928322),40.31999970972538,[13],
7,0.0,1709,1709,1970,POINT (253620.78536701165 2332480.5623729224),74.58999975211918,[0],
13,0.0,1671,1671,1970,POINT (219218.1904164754 2288221.3653988987),64.01999992132187,[13],
28,0.0,1679,1679,1970,POINT (253442.70662970294 2332474.6189971017),69.65999957174063,[15],
31,0.0,1688,1688,1970,POINT (235905.46160159184 2296006.4234165577),131.71000216156244,[15],
162,0.0,1699,1699,1970,POINT (253376.23281809757 2332472.401505586),70.43999912030995,[8],
4,0.0,1717,1717,1974,POINT (243687.1652231058 2468673.978969002),12.580000078305602,[8],
5,0.0,1720,1720,1974,POINT (238896.97564271005 2475103.141517816),50.789999358356,[0],
8,0.0,1721,1721,1974,POINT (241118.21210004739 2446791.1909497348),25.969999872148037,[13],
9,0.0,1722,1722,1974,POINT (241075.36436055956 2446758.801397964),40.31000040099025,[16],
22,0.0,1718,1718,1974,POINT (238703.6547834604 2475004.412648666),57.52999898791313,[14],
32,0.0,1719,1719,1974,POINT (241010.888405147 2446725.7153814556),47.02000030875206,[16],
34,0.0,1716,1716,1974,POINT (240966.03672470964 2446755.279667197),73.45999974012375,[13],
3,0.0,1696,1696,1968,POINT (240522.2828386173 2636596.4361644057),115.42999756708741,[8],
11,0.0,1665,1665,1968,POINT (252703.35449985156 2608887.8903524918),66.68000105023384,[0],
20,0.0,1672,1672,1968,POINT (261644.69622476265 2618845.2596870703),65.8099997639656,[13],
25,0.0,1660,1660,1968,POINT (240522.2828386173 2636596.4361644057),23.72999992966652,[8],
161,0.0,1663,1663,1968,POINT (237284.910988308 2618014.002876855),6.8799998834729195,[14],
2,0.0,1687,1687,1969,POINT (146714.56734630628 2322567.170302846),166.77999770641327,[1],
12,0.0,1691,1691,1969,POINT (163533.54596124828 2349092.09595406),73.53999757766724,[0],
14,0.0,1714,1714,1969,POINT (135948.44882776463 2329959.595869168),200.7899996638298,[13],
19,0.0,1664,1664,1969,POINT (156014.55565840183 2326626.6599322427),160.21999913454056,[14],
21,0.0,1713,1713,1969,POINT (157425.05070414324 2322937.069596642),184.19999676942825,[13],
24,0.0,1683,1683,1969,POINT (157463.5283389753 2321078.020565315),239.309996008873,[1],
26,0.0,1676,1676,1969,POINT (146652.78842290133 2322317.8746798197),124.46999818086624,[2],
166,0.0,1684,1684,1969,POINT (149056.49900787623 2341359.034829607),133.45999908447266,[14],
1,0.0,1685,1685,1972,POINT (-33607.78824666592 2844697.303114625),3942.400058746338,[13],
16,0.0,1707,1707,1972,POINT (-37788.01319022377 2841295.6182041853),1283.3999557495117,[14],
30,0.0,1686,1686,1972,POINT (-38011.05276432731 2861400.732748962),3216.8000106811523,[13],
147,0.0,1666,1666,1972,POINT (-32400.78350259537 2860730.2206395403),5613.000076293945,[11],
0,0.0,1673,1673,1967,POINT (-21372.327733094273 2718095.8227937785),48.93999905139208,[13],
35,0.0,1705,1705,1967,POINT (-28620.678584195677 2583360.6552012027),75.94999888539314,[13],
36,0.0,1706,1706,1967,POINT (-24084.377272022506 2572065.6935197418),58.479999393224716,[13],
163,0.0,1701,1701,1967,POINT (-31944.872319384496 2579307.082330234),101.72999972105026,[13],
164,0.0,1710,1710,1967,POINT (-23038.696856154143 2697837.741951192),57.81999846547842,[13],
